Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Target
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban,Y
LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360,1,Urban,Y
LP002990,Female,No,0,Graduate,Yes,4583,0.0,133,360,0,Semiurban,N
LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,Y
LP001891,Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban,Y
LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349,360,1,Semiurban,N
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,Y
LP002429,Male,Yes,1,Graduate,Yes,3466,1210.0,130,360,1,Rural,Y
LP002138,Male,Yes,0,Graduate,No,2625,6250.0,187,360,1,Rural,Y
LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100,360,1,Semiurban,Y
LP002341,Female,No,1,Graduate,No,2600,0.0,160,360,1,Urban,N
LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,188,360,1,Urban,Y
LP002229,Male,No,0,Graduate,No,5941,4232.0,296,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,Y
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban,Y
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173,360,1,Rural,N
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225,360,1,Urban,Y
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185,360,1,Rural,N
LP002807,Male,Yes,2,Not Graduate,No,3675,242.0,108,360,1,Semiurban,Y
LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180,360,0,Urban,N
LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban,Y
LP002690,Male,No,0,Graduate,No,2500,0.0,55,360,1,Semiurban,Y
LP001924,Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural,Y
LP002390,Male,No,0,Graduate,No,3750,0.0,100,360,1,Urban,Y
LP002541,Male,Yes,0,Graduate,No,10833,0.0,234,360,1,Semiurban,Y
LP001473,Male,No,0,Graduate,No,2014,1929.0,74,360,1,Urban,Y
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,Y
LP001882,Male,Yes,3+,Graduate,No,4333,1811.0,160,360,0,Urban,Y
LP001925,Female,No,0,Graduate,Yes,2600,1717.0,99,300,1,Semiurban,N
LP001896,Male,Yes,2,Graduate,No,3900,0.0,90,360,1,Semiurban,Y
LP001888,Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,Y
LP002545,Male,No,2,Graduate,No,3547,0.0,80,360,0,Rural,N
LP002408,Male,No,0,Graduate,No,3660,5064.0,187,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban,N
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban,Y
LP001792,Male,Yes,1,Graduate,No,3315,0.0,96,360,1,Semiurban,Y
LP002556,Male,No,0,Graduate,No,2435,0.0,75,360,1,Urban,N
LP002366,Male,Yes,0,Graduate,No,2666,4300.0,121,360,1,Rural,Y
LP002201,Male,Yes,2,Graduate,Yes,9323,7873.0,380,300,1,Rural,Y
LP001699,Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban,Y
LP001931,Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban,Y
LP002874,Male,No,0,Graduate,No,3229,2739.0,110,360,1,Urban,Y
LP002936,Male,Yes,0,Graduate,No,3859,3300.0,142,180,1,Rural,Y
LP001577,Female,Yes,0,Graduate,No,4583,0.0,112,360,1,Rural,N
LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,131,360,1,Rural,Y
LP001157,Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban,Y
LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236,360,1,Semiurban,Y
LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304,360,1,Rural,N
LP002840,Female,No,0,Graduate,No,2378,0.0,9,360,1,Urban,N
LP002342,Male,Yes,2,Graduate,Yes,1600,20000.0,239,360,1,Urban,N
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,Y
LP002792,Male,Yes,1,Graduate,No,5468,1032.0,26,360,1,Semiurban,Y
LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45,360,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,5000,0.0,132,360,1,Rural,Y
LP002255,Male,No,3+,Graduate,No,9167,0.0,185,360,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban,Y
LP002938,Male,Yes,0,Graduate,Yes,16120,0.0,260,360,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,Y
LP002734,Male,Yes,0,Graduate,No,6133,3906.0,324,360,1,Urban,Y
LP002940,Male,No,0,Not Graduate,No,3833,0.0,110,360,1,Rural,Y
LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,108,360,1,Rural,Y
LP002403,Male,No,0,Graduate,Yes,10416,0.0,187,360,0,Urban,N
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban,Y
LP002683,Male,No,0,Graduate,No,4683,1915.0,185,360,1,Semiurban,N
LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158,360,0,Urban,N
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,N
LP002262,Male,Yes,3+,Graduate,No,9504,0.0,275,360,1,Rural,Y
LP001579,Male,No,0,Graduate,No,2237,0.0,63,480,0,Semiurban,N
LP002714,Male,No,1,Not Graduate,No,2679,1302.0,94,360,1,Semiurban,Y
LP002190,Male,Yes,1,Graduate,No,6325,0.0,175,360,1,Semiurban,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,140,180,1,Urban,N
LP001487,Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban,Y
LP002317,Male,Yes,3+,Graduate,No,81000,0.0,360,360,0,Rural,N
LP002603,Female,No,0,Graduate,No,645,3683.0,113,480,1,Rural,Y
LP002082,Male,Yes,0,Graduate,Yes,5818,2160.0,184,360,1,Semiurban,Y
LP002487,Male,Yes,0,Graduate,No,3015,2188.0,153,360,1,Rural,Y
LP002434,Male,Yes,2,Not Graduate,No,4652,0.0,110,360,1,Rural,Y
LP002959,Female,Yes,1,Graduate,No,12000,0.0,496,360,1,Semiurban,Y
LP002287,Female,No,0,Graduate,No,1500,1800.0,103,360,0,Semiurban,N
LP002379,Male,No,0,Graduate,No,6500,0.0,105,360,0,Rural,N
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,Y
LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495,360,0,Semiurban,N
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban,N
LP002348,Male,Yes,0,Graduate,No,5829,0.0,138,360,1,Rural,Y
LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban,Y
LP001430,Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,Y
LP002821,Male,No,0,Not Graduate,Yes,5800,0.0,132,360,1,Semiurban,Y
LP002387,Male,Yes,0,Graduate,No,2425,2340.0,143,360,1,Semiurban,Y
LP002979,Male,Yes,3+,Graduate,No,4106,0.0,40,180,1,Rural,Y
LP001692,Female,No,0,Not Graduate,No,4408,0.0,120,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167,360,1,Urban,N
LP002586,Female,Yes,1,Graduate,No,3326,913.0,105,84,1,Semiurban,Y
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural,N
LP002634,Female,No,1,Graduate,No,13262,0.0,40,360,1,Urban,Y
LP002893,Male,No,0,Graduate,No,1836,33837.0,90,360,1,Urban,N
LP001868,Male,No,0,Graduate,No,2060,2209.0,134,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban,N
LP002813,Female,Yes,1,Graduate,Yes,19484,0.0,600,360,1,Semiurban,Y
LP002517,Male,Yes,1,Not Graduate,No,2653,1500.0,113,180,0,Rural,N
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315,360,1,Urban,Y
LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130,360,1,Rural,Y
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban,Y
LP002119,Male,Yes,1,Not Graduate,No,4554,1229.0,158,360,1,Urban,Y
LP002151,Male,Yes,1,Graduate,No,3875,0.0,67,360,1,Urban,N
LP002337,Female,No,0,Graduate,No,2995,0.0,60,360,1,Urban,Y
LP001653,Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,Y
LP002315,Male,Yes,1,Graduate,No,8300,0.0,152,300,0,Semiurban,N
LP002693,Male,Yes,2,Graduate,Yes,7948,7166.0,480,360,1,Rural,Y
LP002129,Male,Yes,0,Graduate,No,2499,2458.0,160,360,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135,360,1,Rural,N
LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,376,360,0,Rural,N
LP002836,Male,No,0,Graduate,No,3333,0.0,70,360,1,Urban,Y
LP002659,Male,Yes,3+,Graduate,No,3466,3428.0,150,360,1,Rural,Y
LP002314,Female,No,0,Not Graduate,No,2213,0.0,66,360,1,Rural,Y
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134,360,1,Urban,Y
LP001289,Male,No,0,Graduate,No,8566,0.0,210,360,1,Urban,Y
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100,360,1,Semiurban,Y
LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570,360,1,Rural,N
LP002301,Female,No,0,Graduate,Yes,7441,0.0,194,360,1,Rural,N
LP002006,Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural,Y
LP002236,Male,Yes,2,Graduate,No,4566,0.0,100,360,1,Urban,N
LP002931,Male,Yes,2,Graduate,Yes,6000,0.0,205,240,1,Semiurban,N
LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,180,360,1,Rural,Y
LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113,360,1,Urban,Y
LP001519,Female,No,0,Graduate,No,10000,1666.0,225,360,1,Rural,N
LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170,360,1,Rural,Y
LP002837,Male,Yes,3+,Graduate,No,3400,2500.0,123,360,0,Rural,N
LP002615,Male,Yes,2,Graduate,No,4865,5624.0,208,360,1,Semiurban,Y
LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,125,360,0,Rural,N
LP002205,Male,No,1,Graduate,No,3062,1987.0,111,180,0,Urban,N
LP001798,Male,Yes,2,Graduate,No,5819,5000.0,120,360,1,Rural,Y
LP002493,Male,No,0,Graduate,No,4166,0.0,98,360,0,Semiurban,N
LP001586,Male,Yes,3+,Not Graduate,No,3522,0.0,81,180,1,Rural,N
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100,360,1,Rural,Y
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210,360,1,Semiurban,Y
LP002180,Male,No,0,Graduate,Yes,6822,0.0,141,360,1,Rural,Y
LP002398,Male,No,0,Graduate,No,1926,1851.0,50,360,1,Semiurban,Y
LP002494,Male,No,0,Graduate,No,6000,0.0,140,360,1,Rural,Y
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191,360,1,Semiurban,Y
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99,360,1,Urban,Y
LP002139,Male,Yes,0,Graduate,No,9083,0.0,228,360,1,Semiurban,Y
LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,128,360,1,Urban,Y
LP002772,Male,No,0,Graduate,No,2526,1783.0,145,360,1,Rural,Y
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152,360,1,Rural,Y
LP002370,Male,No,0,Not Graduate,No,2717,0.0,60,180,1,Urban,Y
LP001954,Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban,Y
LP002916,Male,Yes,0,Graduate,No,2297,1522.0,104,360,1,Urban,Y
LP002571,Male,No,0,Not Graduate,No,3691,0.0,110,360,1,Rural,Y
LP002004,Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,Y
LP002250,Male,Yes,0,Graduate,No,5488,0.0,125,360,1,Rural,Y
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban,Y
LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150,360,1,Semiurban,N
LP002265,Male,Yes,2,Not Graduate,No,1993,1625.0,113,180,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113,360,1,Rural,N
LP002158,Male,Yes,0,Not Graduate,No,3000,1666.0,100,480,0,Urban,N
LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172,360,1,Semiurban,Y
LP001095,Male,No,0,Graduate,No,3167,0.0,74,360,1,Urban,N
LP002087,Female,No,0,Graduate,No,2500,0.0,67,360,1,Urban,Y
LP001422,Female,No,0,Graduate,No,10408,0.0,259,360,1,Urban,Y
LP001114,Male,No,0,Graduate,No,4166,7210.0,184,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban,N
LP002743,Female,No,0,Graduate,No,2138,0.0,99,360,0,Semiurban,N
LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162,360,1,Semiurban,Y
LP002377,Female,No,1,Graduate,Yes,8624,0.0,150,360,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,6400,0.0,200,360,1,Rural,Y
LP001349,Male,No,0,Graduate,No,4843,3806.0,151,360,1,Semiurban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,Y
LP002648,Male,Yes,0,Graduate,No,2130,6666.0,70,180,1,Semiurban,N
LP001543,Male,Yes,1,Graduate,No,9538,0.0,187,360,1,Urban,Y
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320,360,1,Rural,N
LP001993,Female,No,0,Graduate,No,3762,1666.0,135,360,1,Rural,Y
LP002606,Female,No,0,Graduate,No,3159,0.0,100,360,1,Semiurban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267,360,1,Urban,Y
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y
LP002738,Male,No,2,Graduate,No,3617,0.0,107,360,1,Semiurban,Y
LP002181,Male,No,0,Not Graduate,No,6216,0.0,133,360,1,Rural,N
LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural,Y
LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207,360,1,Semiurban,Y
LP002459,Male,Yes,0,Graduate,No,4301,0.0,118,360,1,Urban,Y
LP002912,Male,Yes,1,Graduate,No,4283,3000.0,172,84,1,Rural,N
LP002602,Male,No,0,Graduate,No,6283,4416.0,209,360,0,Rural,N
LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90,360,1,Semiurban,Y
LP002035,Male,Yes,2,Graduate,No,3717,0.0,120,360,1,Semiurban,Y
LP002187,Male,No,0,Graduate,No,2500,0.0,96,480,1,Semiurban,N
LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158,360,1,Urban,Y
LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120,360,1,Rural,Y
LP002640,Male,Yes,1,Graduate,No,6065,2004.0,250,360,1,Semiurban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,Y
LP001151,Female,No,0,Graduate,No,4000,2275.0,144,360,1,Semiurban,Y
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y
LP002224,Male,No,0,Graduate,No,3069,0.0,71,480,1,Urban,N
LP002175,Male,Yes,0,Graduate,No,4750,2333.0,130,360,1,Urban,Y
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural,N
LP001677,Male,No,2,Graduate,No,4923,0.0,166,360,0,Semiurban,Y
LP002418,Male,No,3+,Not Graduate,No,4707,1993.0,148,360,1,Semiurban,Y
LP002368,Male,Yes,2,Graduate,No,5935,0.0,133,360,1,Semiurban,Y
LP002720,Male,Yes,3+,Graduate,No,4281,0.0,100,360,1,Urban,Y
LP002767,Male,Yes,0,Graduate,No,2768,1950.0,155,360,1,Rural,Y
LP001322,Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban,Y
LP002097,Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban,Y
LP002234,Male,No,0,Graduate,Yes,7167,0.0,128,360,1,Urban,Y
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108,360,1,Semiurban,Y
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286,360,0,Urban,N
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200,360,1,Urban,Y
LP001765,Male,Yes,1,Graduate,No,2491,2054.0,104,360,1,Semiurban,Y
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168,360,1,Urban,Y
LP001875,Male,No,0,Graduate,No,4095,3447.0,151,360,1,Rural,Y
LP001656,Male,No,0,Graduate,No,12000,0.0,164,360,1,Semiurban,N
LP002361,Male,Yes,0,Graduate,No,1820,1719.0,100,360,1,Urban,Y
LP002467,Male,Yes,0,Graduate,No,3708,2569.0,173,360,1,Urban,N
LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218,360,0,Rural,N
LP002211,Male,Yes,0,Graduate,No,4817,923.0,120,180,1,Urban,Y
LP002524,Male,No,2,Graduate,No,5532,4648.0,162,360,1,Rural,Y
LP002832,Male,Yes,2,Graduate,No,8799,0.0,258,360,0,Urban,N
LP002841,Male,Yes,0,Graduate,No,3166,2064.0,104,360,0,Urban,N
LP001478,Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban,Y
LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150,360,1,Semiurban,Y
LP002894,Female,Yes,0,Graduate,No,3166,0.0,36,360,1,Semiurban,Y
LP002284,Male,No,0,Not Graduate,No,3902,1666.0,109,360,1,Rural,Y
LP002305,Female,No,0,Graduate,No,4547,0.0,115,360,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,Y
LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139,360,1,Rural,Y
LP002788,Male,Yes,0,Not Graduate,No,2454,2333.0,181,360,0,Urban,N
LP001535,Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban,Y
LP002892,Male,Yes,2,Graduate,No,6540,0.0,205,360,1,Semiurban,Y
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban,Y
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133,360,1,Rural,N
LP001572,Male,Yes,0,Graduate,No,9323,0.0,75,180,1,Urban,Y
LP001385,Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban,Y
LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban,Y
LP002308,Male,Yes,0,Not Graduate,No,2167,2400.0,115,360,1,Urban,Y
LP002449,Male,Yes,0,Graduate,No,2483,2466.0,90,180,0,Rural,Y
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144,360,1,Semiurban,Y
LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,105,360,0,Rural,N
LP001953,Male,Yes,1,Graduate,No,6875,0.0,200,360,1,Semiurban,Y
LP001955,Female,No,0,Graduate,No,5000,2541.0,151,480,1,Rural,N
LP001658,Male,No,0,Graduate,No,3858,0.0,76,360,1,Semiurban,Y
LP002652,Male,No,0,Graduate,No,5815,3666.0,311,360,1,Rural,N
LP001279,Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban,Y
LP001917,Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,Y
LP002948,Male,Yes,2,Graduate,No,5780,0.0,192,360,1,Urban,Y
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,N
LP002978,Female,No,0,Graduate,No,2900,0.0,71,360,1,Rural,Y
LP002098,Male,No,0,Graduate,No,2935,0.0,98,360,1,Semiurban,Y
LP001580,Male,Yes,2,Graduate,No,8000,0.0,200,360,1,Semiurban,Y
LP002731,Female,No,0,Not Graduate,Yes,18165,0.0,125,360,1,Urban,Y
LP002716,Male,No,0,Not Graduate,No,6783,0.0,130,360,1,Semiurban,Y
LP001836,Female,No,2,Graduate,No,3427,0.0,138,360,1,Urban,N
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312,360,1,Urban,Y
LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121,360,0,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban,Y
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban,Y
LP002231,Female,No,0,Graduate,No,6000,0.0,156,360,1,Urban,Y
LP001120,Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,Y
LP002958,Male,No,0,Graduate,No,3676,4301.0,172,360,1,Rural,Y
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,Y
LP002600,Male,Yes,1,Graduate,Yes,2895,0.0,95,360,1,Semiurban,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124,360,1,Semiurban,Y
LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149,360,0,Rural,N
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125,60,1,Urban,Y
LP002555,Male,Yes,2,Graduate,Yes,4583,2083.0,160,360,1,Semiurban,Y
LP002050,Male,Yes,1,Graduate,Yes,10000,0.0,155,360,1,Rural,N
LP002347,Male,Yes,0,Graduate,No,3246,1417.0,138,360,1,Semiurban,Y
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128,360,0,Semiurban,N
LP002116,Female,No,0,Graduate,No,2378,0.0,46,360,1,Rural,N
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258,360,1,Semiurban,N
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175,180,1,Semiurban,Y
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187,360,1,Semiurban,Y
LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,130,360,1,Rural,Y
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94,480,1,Semiurban,Y
LP002739,Male,Yes,0,Not Graduate,No,2917,536.0,66,360,1,Rural,N
LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140,360,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,16250,0.0,192,360,0,Urban,N
